      Store        Date  Temperature
15        1  2010-05-21        76.44
16        1  2010-05-28        80.44
17        1  2010-06-04        80.69
18        1  2010-06-11        80.43
19        1  2010-06-18        84.11
20        1  2010-06-25        84.34
21        1  2010-07-02        80.91
22        1  2010-07-09        80.48
23        1  2010-07-16        83.15
24        1  2010-07-23        83.36
25        1  2010-07-30        81.84
26        1  2010-08-06        87.16
27        1  2010-08-13        87.00
28        1  2010-08-20        86.65
29        1  2010-08-27        85.22
